epoch,loss,acc,val_loss,val_acc
116,0.0044,0.9992,0.0015,1.0000
117,0.0044,0.9989,0.0022,1.0000
118,0.0041,0.9991,0.0014,1.0000
119,0.0044,0.9991,0.0015,1.0000
120,0.0041,0.9992,0.0019,1.0000
121,0.0043,0.9990,0.0014,1.0000
122,0.0043,0.9991,0.0014,1.0000
123,0.0043,0.9992,0.0018,1.0000
124,0.0042,0.9991,0.0014,1.0000
125,0.0046,0.9991,0.0015,1.0000
126,0.0037,0.9991,0.0014,1.0000
127,0.0046,0.9992,0.0014,1.0000
128,0.0040,0.9993,0.0013,1.0000
129,0.0042,0.9993,0.0014,1.0000
130,0.0044,0.9991,0.0013,1.0000
131,0.0039,0.9992,0.0013,1.0000
132,0.0045,0.9990,0.0014,1.0000
133,0.0041,0.9992,0.0014,1.0000
134,0.0038,0.9993,0.0013,1.0000
135,0.0047,0.9993,0.0013,1.0000
136,0.0042,0.9993,0.0013,1.0000
137,0.0048,0.9991,0.0013,1.0000
138,0.0037,0.9992,0.0014,1.0000
139,0.0043,0.9992,0.0013,1.0000
140,0.0036,0.9992,0.0013,1.0000
141,0.0040,0.9992,0.0013,1.0000
142,0.0042,0.9993,0.0016,1.0000
143,0.0041,0.9991,0.0013,1.0000
144,0.0037,0.9992,0.0013,1.0000
145,0.0040,0.9992,0.0012,1.0000
146,0.0038,0.9992,0.0012,1.0000
147,0.0043,0.9993,0.0012,1.0000
148,0.0039,0.9991,0.0012,1.0000
149,0.0043,0.9993,0.0014,1.0000
150,0.0042,0.9991,0.0014,1.0000
151,0.0039,0.9991,0.0013,1.0000
152,0.0040,0.9991,0.0012,1.0000
153,0.0038,0.9992,0.0013,1.0000
154,0.0040,0.9990,0.0013,1.0000
155,0.0041,0.9991,0.0018,1.0000
156,0.0041,0.9992,0.0012,1.0000
157,0.0036,0.9992,0.0013,1.0000
158,0.0038,0.9994,0.0012,1.0000
159,0.0040,0.9992,0.0013,1.0000
160,0.0035,0.9993,0.0012,1.0000
161,0.0032,0.9993,0.0012,1.0000
162,0.0040,0.9990,0.0013,1.0000
163,0.0036,0.9991,0.0011,1.0000
164,0.0040,0.9991,0.0012,1.0000
165,0.0038,0.9991,0.0013,1.0000
166,0.0036,0.9991,0.0013,1.0000
167,0.0036,0.9993,0.0012,1.0000
168,0.0038,0.9994,0.0011,1.0000
169,0.0032,0.9994,0.0011,1.0000
170,0.0037,0.9993,0.0013,1.0000
171,0.0033,0.9992,0.0011,1.0000
172,0.0033,0.9992,0.0012,1.0000
173,0.0036,0.9993,0.0013,1.0000
174,0.0040,0.9992,0.0011,1.0000
175,0.0037,0.9992,0.0011,1.0000
176,0.0037,0.9990,0.0011,1.0000
177,0.0038,0.9990,0.0011,1.0000
178,0.0039,0.9990,0.0011,1.0000
179,0.0035,0.9992,0.0011,1.0000
180,0.0037,0.9991,0.0011,1.0000
181,0.0038,0.9991,0.0012,1.0000
182,0.0034,0.9993,0.0014,1.0000
183,0.0034,0.9992,0.0011,1.0000
184,0.0041,0.9990,0.0012,1.0000
185,0.0040,0.9993,0.0012,1.0000
186,0.0038,0.9992,0.0012,1.0000
187,0.0035,0.9992,0.0011,1.0000
188,0.0038,0.9993,0.0011,1.0000
189,0.0037,0.9994,0.0013,1.0000
190,0.0036,0.9992,0.0011,1.0000
191,0.0038,0.9993,0.0011,1.0000
192,0.0039,0.9991,0.0012,1.0000
193,0.0032,0.9996,0.0013,1.0000
194,0.0037,0.9991,0.0013,1.0000
195,0.0030,0.9993,0.0013,1.0000
196,0.0038,0.9991,0.0011,1.0000
197,0.0037,0.9991,0.0012,1.0000
198,0.0037,0.9991,0.0011,1.0000
199,0.0038,0.9992,0.0011,1.0000
200,0.0038,0.9993,0.0012,1.0000
201,0.0037,0.9993,0.0011,1.0000
202,0.0033,0.9993,0.0015,1.0000
203,0.0038,0.9992,0.0011,1.0000
204,0.0033,0.9991,0.0011,1.0000
205,0.0037,0.9993,0.0014,1.0000
206,0.0037,0.9991,0.0014,1.0000
207,0.0031,0.9993,0.0011,1.0000
208,0.0036,0.9992,0.0011,1.0000
209,0.0035,0.9993,0.0012,1.0000
210,0.0038,0.9992,0.0013,1.0000
211,0.0030,0.9993,0.0012,1.0000
212,0.0037,0.9993,0.0012,1.0000
213,0.0035,0.9993,0.0011,1.0000
214,0.0037,0.9990,0.0011,1.0000
215,0.0035,0.9992,0.0011,1.0000
216,0.0035,0.9993,0.0014,1.0000
217,0.0036,0.9992,9.9665e-04,1.0000
218,0.0033,0.9992,0.0010,1.0000
219,0.0034,0.9990,0.0014,1.0000
220,0.0035,0.9992,0.0011,1.0000
221,0.0036,0.9993,0.0011,1.0000
222,0.0037,0.9993,0.0010,1.0000
223,0.0036,0.9993,0.0010,1.0000
224,0.0035,0.9991,0.0011,1.0000
225,0.0032,0.9993,0.0012,1.0000
226,0.0036,0.9991,0.0010,1.0000
227,0.0033,0.9993,0.0010,1.0000
228,0.0038,0.9990,0.0012,1.0000
229,0.0032,0.9993,0.0011,1.0000
230,0.0035,0.9991,0.0012,1.0000
231,0.0032,0.9992,0.0010,1.0000
232,0.0034,0.9994,0.0011,1.0000
233,0.0035,0.9994,0.0011,1.0000
234,0.0032,0.9992,0.0011,1.0000
235,0.0031,0.9992,0.0012,1.0000
236,0.0038,0.9991,0.0010,1.0000
237,0.0035,0.9990,0.0013,1.0000
238,0.0035,0.9992,0.0013,1.0000
239,0.0025,0.9994,0.0012,1.0000
240,0.0032,0.9992,0.0011,1.0000
241,0.0033,0.9993,0.0011,1.0000
242,0.0037,0.9991,0.0013,1.0000
243,0.0032,0.9991,9.9231e-04,1.0000
244,0.0032,0.9994,0.0012,1.0000
245,0.0035,0.9993,0.0010,1.0000
246,0.0034,0.9992,0.0010,1.0000
247,0.0032,0.9990,0.0010,1.0000
248,0.0028,0.9993,0.0011,1.0000
249,0.0039,0.9991,9.9684e-04,1.0000
250,0.0031,0.9993,0.0012,1.0000
